fecha,anio,mes,precio_barril_usd,var_mensual_pct,precio_barril_usd_ma3
2019-10-01,2019,10,59.63130434782609,,59.63
2019-11-01,2019,11,62.68666666666667,0.0512,61.16
2019-12-01,2019,12,65.34818181818181,0.0425,62.56
2020-01-01,2020,1,63.89869565217391,-0.0222,63.98
2020-02-01,2020,2,55.691,-0.1284,61.65
2020-03-01,2020,3,33.94727272727273,-0.3904,51.18
2020-04-01,2020,4,26.84863636363636,-0.2091,38.83
2020-05-01,2020,5,32.42238095238095,0.2076,31.07
2020-06-01,2020,6,40.86045454545455,0.2603,33.38
2020-07-01,2020,7,43.29565217391304,0.0596,38.86
2020-08-01,2020,8,45.08142857142857,0.0412,43.08
2020-09-01,2020,9,41.92681818181818,-0.07,43.43
2020-10-01,2020,10,41.60681818181818,-0.0076,42.87
2020-11-01,2020,11,44.05,0.0587,42.53
2020-12-01,2020,12,50.37695652173913,0.1436,45.34
2021-01-01,2021,1,55.2247619047619,0.0962,49.88
2021-02-01,2021,2,62.3625,0.1292,55.99
2021-03-01,2021,3,65.79608695652173,0.0551,61.13
2021-04-01,2021,4,65.53181818181818,-0.004,64.56
2021-05-01,2021,5,68.3752380952381,0.0434,66.57
2021-06-01,2021,6,73.51272727272728,0.0751,69.14
2021-07-01,2021,7,74.40318181818182,0.0121,72.1
2021-08-01,2021,8,70.58818181818182,-0.0513,72.83
2021-09-01,2021,9,74.74954545454545,0.059,73.25
2021-10-01,2021,10,83.8652380952381,0.1219,76.4
2021-11-01,2021,11,80.89045454545455,-0.0355,79.84
2021-12-01,2021,12,74.67826086956522,-0.0768,79.81
2022-01-01,2022,1,85.62238095238095,0.1466,80.4
2022-02-01,2022,2,94.267,0.101,84.86
2022-03-01,2022,3,112.44,0.1928,97.44
2022-04-01,2022,4,106.1557142857143,-0.0559,104.29
2022-05-01,2022,5,112.1136363636364,0.0561,110.24
2022-06-01,2022,6,117.6927272727273,0.0498,111.99
2022-07-01,2022,7,105.2528571428571,-0.1057,111.69
2022-08-01,2022,8,97.64304347826088,-0.0723,106.86
2022-09-01,2022,9,90.60818181818182,-0.072,97.83
2022-10-01,2022,10,93.71857142857144,0.0343,93.99
2022-11-01,2022,11,90.93863636363636,-0.0297,91.76
2022-12-01,2022,12,81.50318181818182,-0.1038,88.72
2023-01-01,2023,1,84.08181818181818,0.0316,85.51
2023-02-01,2023,2,83.6325,-0.0053,83.07
2023-03-01,2023,3,79.25652173913043,-0.0523,82.32
2023-04-01,2023,4,83.536,0.054,82.14
2023-05-01,2023,5,75.74739130434783,-0.0932,79.51
2023-06-01,2023,6,74.975,-0.0102,78.09
2023-07-01,2023,7,80.10904761904762,0.0685,76.94
2023-08-01,2023,8,85.16826086956522,0.0632,80.08
2023-09-01,2023,9,92.67333333333332,0.0881,85.98
2023-10-01,2023,10,88.94772727272726,-0.0402,88.93
2023-11-01,2023,11,82.18636363636364,-0.076,87.94
2023-12-01,2023,12,77.54095238095238,-0.0565,82.89
2024-01-01,2024,1,79.11,0.0202,79.61
2024-02-01,2024,2,81.7957142857143,0.0339,79.48
2024-03-01,2024,3,84.96142857142857,0.0387,81.96
2024-04-01,2024,4,88.97454545454545,0.0472,85.24
2024-05-01,2024,5,83.05391304347826,-0.0665,85.66
2024-06-01,2024,6,82.9175,-0.0016,84.98
2024-07-01,2024,7,84.0486956521739,0.0136,83.34
2024-08-01,2024,8,79.01863636363636,-0.0598,81.99
2024-09-01,2024,9,73.05761904761906,-0.0754,78.71
2024-10-01,2024,10,75.26652173913043,0.0302,75.78
2024-11-01,2024,11,73.50857142857143,-0.0234,73.94
2024-12-01,2024,12,73.22772727272726,-0.0038,74.0
2025-01-01,2025,1,78.19391304347826,0.0678,74.98
2025-02-01,2025,2,75.193,-0.0384,75.54
2025-03-01,2025,3,71.74142857142857,-0.0459,75.04
2025-04-01,2025,4,66.92727272727274,-0.0671,71.29
2025-05-01,2025,5,64.09272727272727,-0.0424,67.59
2025-06-01,2025,6,69.84666666666666,0.0898,66.96
2025-07-01,2025,7,69.56478260869565,-0.004,67.83
2025-08-01,2025,8,67.24428571428571,-0.0334,68.89
2025-09-01,2025,9,67.60909090909091,0.0054,68.14
2025-10-01,2025,10,63.98130434782609,-0.0537,66.28
2025-11-01,2025,11,63.6935,-0.0045,65.09
2025-12-01,2025,12,61.81090909090909,-0.0296,63.16
